df,lambda,c_raw,c_adj
0,0.08917760291841478,0.47053426917533486,0.5294657308246651
1,0.08125531046595583,0.39970626793472736,0.6002937320652726
3,0.07403681263959495,0.386975706507716,0.613024293492284
5,0.06146666255253865,0.37410701021416115,0.6258929897858388
6,0.051030703114400396,0.3687041125095456,0.6312958874904544
7,0.04649727610025708,0.36722242059199917,0.6327775794080008
8,0.04236658624704394,0.36564038542234084,0.6343596145776591
9,0.03860285549540586,0.36401404284265915,0.6359859571573409
10,0.03204876881789958,0.3587636147548888,0.6412363852451112
13,0.02660745091423122,0.35172394919764494,0.6482760508023551
14,0.02208997319603187,0.3459587732581324,0.6540412267418676
15,0.01833948383008811,0.3413130110012693,0.6586869889987307
16,0.013873146967348853,0.33726148930236677,0.6627385106976332
17,0.012640694827860068,0.3363727347836626,0.6636272652163374
18,0.010494526921303,0.33436456658230884,0.6656354334176912
20,0.009562222074571155,0.33309268328281416,0.6669073167171858
23,0.008712740620809536,0.3314076985428075,0.6685923014571925
24,0.007938724758064042,0.3300667478100411,0.6699332521899589
25,0.007233470331226643,0.329334372385537,0.670665627614463
26,0.006590868763851151,0.32854205164158956,0.6714579483584104
27,0.006005354148586433,0.3272805936150416,0.6727194063849584
31,0.004985750517874668,0.3249661830208792,0.6750338169791208
32,0.005471855037949708,0.32613902622738045,0.6738609737726196
33,0.0045428301835645215,0.3237790050640763,0.6762209949359237
34,0.004139257670979927,0.32279381677061536,0.6772061832293846
35,0.0031311966322094013,0.3209863350734852,0.6790136649265148
36,0.002853029753590655,0.32082213702457496,0.679177862975425
41,0.0014875720790153667,0.32153626822142234,0.6784637317785777
43,0.0012350084740751764,0.3220822918920046,0.6779177081079955
44,0.001025325732146751,0.3228068483617987,0.6771931516382013
45,9.342386200999122e-4,0.3230075348660222,0.6769924651339778
46,7.756213153687272e-4,0.32336199414620925,0.6766380058537907
47,4.438390333276051e-4,0.32422729180078347,0.6757727081992165
48,3.0592102945569744e-4,0.3247185827883956,0.6752814172116044
49,2.1085949913322527e-4,0.32518902323011445,0.6748109767698856
