decile,pred_mean,obs_surv,n,cohort,horizon
1,0.9317454783889755,0.8995208543920257,108,TCGA_BRCA,24
2,0.9396075268187246,0.9651612903225807,107,TCGA_BRCA,24
3,0.9451204420821476,0.8376551580207431,107,TCGA_BRCA,24
4,0.9490200597982774,0.9665725510795935,107,TCGA_BRCA,24
5,0.9516749494098928,0.9418565302195459,107,TCGA_BRCA,24
6,0.9538148740624933,0.9453947974149379,107,TCGA_BRCA,24
7,0.9556984471716332,0.9740975935828877,107,TCGA_BRCA,24
8,0.9574855355722998,0.98989898989899,107,TCGA_BRCA,24
9,0.9595025167459373,0.9903846153846154,107,TCGA_BRCA,24
10,0.9630973055223865,0.9782480893592005,108,TCGA_BRCA,24
