"gene","in_canonical_50","in_scanb_matrix","in_corepam","note"
"ACTR3B",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"ANLN",TRUE,TRUE,FALSE,"present, penalized to 0"
"BAG1",TRUE,TRUE,FALSE,"present, penalized to 0"
"BCL2",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"BIRC5",TRUE,TRUE,FALSE,"present, penalized to 0"
"BLVRA",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"CCNB1",TRUE,TRUE,FALSE,"present, penalized to 0"
"CCNE1",TRUE,TRUE,FALSE,"present, penalized to 0"
"CDC20",TRUE,TRUE,FALSE,"present, penalized to 0"
"CDC6",TRUE,TRUE,FALSE,"present, penalized to 0"
"CDCA1",TRUE,FALSE,FALSE,"present as current symbol NUF2"
"CDH3",TRUE,TRUE,FALSE,"present, penalized to 0"
"CENPF",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"CEP55",TRUE,TRUE,FALSE,"present, penalized to 0"
"CXXC5",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"EGFR",TRUE,TRUE,FALSE,"present, penalized to 0"
"ERBB2",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"ESR1",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"EXO1",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"FGFR4",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"FOXA1",TRUE,TRUE,FALSE,"present, penalized to 0"
"FOXC1",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"GPR160",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"GRB7",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"KIF2C",TRUE,TRUE,FALSE,"present, penalized to 0"
"KRT14",TRUE,TRUE,FALSE,"present, penalized to 0"
"KRT17",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"KRT5",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"MAPT",TRUE,TRUE,FALSE,"present, penalized to 0"
"MDM2",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"MELK",TRUE,TRUE,FALSE,"present, penalized to 0"
"MIA",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"MKI67",TRUE,TRUE,FALSE,"present, penalized to 0"
"MLPH",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"MMP11",TRUE,TRUE,FALSE,"present, penalized to 0"
"MYBL2",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"MYC",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"NAT1",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"NDC80",TRUE,TRUE,FALSE,"present, penalized to 0"
"NUF2",TRUE,TRUE,FALSE,"present, penalized to 0"
"ORC6L",TRUE,FALSE,FALSE,"present as current symbol ORC6"
"PGR",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"PHGDH",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"PTTG1",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"RRM2",TRUE,TRUE,FALSE,"present, penalized to 0"
"SFRP1",TRUE,TRUE,TRUE,"selected by elastic-net (CorePAM)"
"SLC39A6",TRUE,TRUE,FALSE,"present, penalized to 0"
"TMEM45B",TRUE,TRUE,FALSE,"present, penalized to 0"
"TYMS",TRUE,TRUE,FALSE,"present, penalized to 0"
"UBE2T",TRUE,TRUE,FALSE,"present, penalized to 0"
