"gene","SCANB","TCGA_BRCA","METABRIC","GSE20685","n_cohorts_present"
"ACTR3B",TRUE,TRUE,TRUE,TRUE,4
"ANLN",TRUE,TRUE,TRUE,FALSE,3
"BAG1",TRUE,TRUE,TRUE,TRUE,4
"BCL2",TRUE,TRUE,TRUE,TRUE,4
"BIRC5",TRUE,TRUE,TRUE,TRUE,4
"BLVRA",TRUE,TRUE,TRUE,TRUE,4
"CCNB1",TRUE,TRUE,TRUE,TRUE,4
"CCNE1",TRUE,TRUE,TRUE,TRUE,4
"CDC20",TRUE,TRUE,TRUE,TRUE,4
"CDC6",TRUE,TRUE,TRUE,TRUE,4
"CDH3",TRUE,TRUE,TRUE,TRUE,4
"CENPF",TRUE,TRUE,TRUE,TRUE,4
"CEP55",TRUE,TRUE,TRUE,TRUE,4
"CXXC5",TRUE,TRUE,TRUE,FALSE,3
"EGFR",TRUE,TRUE,TRUE,TRUE,4
"ERBB2",TRUE,TRUE,TRUE,TRUE,4
"ESR1",TRUE,TRUE,TRUE,TRUE,4
"EXO1",TRUE,TRUE,TRUE,TRUE,4
"FGFR4",TRUE,TRUE,TRUE,TRUE,4
"FOXA1",TRUE,TRUE,TRUE,TRUE,4
"FOXC1",TRUE,TRUE,TRUE,TRUE,4
"GPR160",TRUE,TRUE,TRUE,FALSE,3
"GRB7",TRUE,TRUE,TRUE,TRUE,4
"KIF2C",TRUE,TRUE,TRUE,TRUE,4
"KRT14",TRUE,TRUE,TRUE,TRUE,4
"KRT17",TRUE,TRUE,TRUE,TRUE,4
"KRT5",TRUE,TRUE,TRUE,TRUE,4
"MAPT",TRUE,TRUE,TRUE,TRUE,4
"MDM2",TRUE,TRUE,TRUE,TRUE,4
"MELK",TRUE,TRUE,TRUE,TRUE,4
"MIA",TRUE,FALSE,TRUE,TRUE,3
"MKI67",TRUE,TRUE,TRUE,TRUE,4
"MLPH",TRUE,TRUE,TRUE,TRUE,4
"MMP11",TRUE,TRUE,TRUE,TRUE,4
"MYBL2",TRUE,TRUE,TRUE,TRUE,4
"MYC",TRUE,TRUE,TRUE,TRUE,4
"NAT1",TRUE,TRUE,TRUE,TRUE,4
"NDC80",TRUE,TRUE,TRUE,TRUE,4
"NUF2",TRUE,TRUE,TRUE,FALSE,3
"ORC6",TRUE,TRUE,TRUE,TRUE,4
"PGR",TRUE,TRUE,TRUE,TRUE,4
"PHGDH",TRUE,TRUE,TRUE,TRUE,4
"PTTG1",TRUE,TRUE,TRUE,TRUE,4
"RRM2",TRUE,TRUE,TRUE,TRUE,4
"SFRP1",TRUE,TRUE,TRUE,TRUE,4
"SLC39A6",TRUE,TRUE,TRUE,TRUE,4
"TMEM45B",TRUE,TRUE,TRUE,FALSE,3
"TYMS",TRUE,TRUE,TRUE,TRUE,4
"UBE2C",TRUE,TRUE,TRUE,TRUE,4
"UBE2T",TRUE,TRUE,TRUE,FALSE,3
